货品条形码,供应商名称,大类名称,货品名称,金石名称,品类名称,备注,工厂款号,公司款号,金重量,金单价,圈号,加工费,货重,实际成本,标签价,监管码,证书编号,证书费,其他费用,金损耗,金成本,货品系列,国际证书编号,规格
,福佑门四楼,银饰,足银999梳子,足银999,梳子,,YS002,YS002,75.9,4.4,,,75.9,367.36,2299,,,,,,,,,
,福佑门四楼,银饰,足银999梳子,足银999,梳子,,YS002,YS002,75.06,4.4,,,75.06,363.29,2299,,,,,,,,,
,福佑门四楼,银饰,足银999碗,足银999,碗,,KB214,KB214,135.96,5.7,,,135.96,852.47,4099,,,,,,,,,
,福佑门四楼,银饰,足银999碗,足银999,碗,,KB214,KB214,138.71,5.7,,,138.71,869.71,4199,,,,,,,,,
,福佑门四楼,银饰,足银999碗,足银999,碗,,KB214,KB214,97.43,5.7,,,97.43,610.89,2599,,,,,,,,,
,福佑门四楼,银饰,足银999碗,足银999,碗,,KB214,KB214,100.48,5.7,,,100.48,630.01,2599,,,,,,,,,
,福佑门四楼,银饰,足银999碗,足银999,碗,,KB110,KB110,88.53,5.2,,,88.53,506.39,1999,,,,,,,,,
,福佑门四楼,银饰,足银摆件,足银,保健杯,,LP0461,LP0461,60,3.5,,240,60,495,2599,,,,,,,,,
,福佑门四楼,银饰,足银摆件,足银,保健杯,,LP0440,LP0440,40,3.5,,310,40,495,2599,,,,,,,,,
,福佑门四楼,银饰,足银摆件,足银,保健杯,,LP0350,LP0350,60,3.5,,180,60,429,1999,,,,,,,,,
,福佑门四楼,银饰,足银999勺子,足银999,勺子,,KB185,KB185,28.21,5.4,,4,28.21,171.97,799,,,,,,,,,
,福佑门四楼,银饰,足银999勺子,足银999,勺子,,KB185,KB185,27.96,5.4,,4,27.96,170.48,799,,,,,,,,,
,福佑门四楼,银饰,足银999勺子,足银999,勺子,,KB186,KB186,29.55,4.8,,4,29.55,160.42,799,,,,,,,,,
,福佑门四楼,银饰,足银999勺子,足银999,勺子,,KB186,KB186,31.17,4.8,,4,31.17,168.98,899,,,,,,,,,
,福佑门四楼,银饰,足银999餐具,足银999,刀叉,备注:不含黄色部分,KB127,KB127,27.8,5.7,,5,27.8,179.81,799,,,,,,,,,
,福佑门四楼,银饰,足银999餐具,足银999,刀叉,备注:不含黄色部分,KB127,KB127,26.5,5.7,,5,26.5,171.66,699,,,,,,,,,
,福佑门四楼,银饰,足银999勺子,足银999,勺子,,KB187,KB187,30.09,5,,4,30.09,169.9,799,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1201,KSB1201,25.6,3.5,,19,25.6,119.46,699,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1625,KSB1625,16.62,3.5,,19,16.62,84.89,399,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1626,KSB1626,17.53,3.5,,19,17.53,88.39,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1616,KSB1616,19.38,3.5,,18,19.38,94.41,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1634,KSB1634,23.07,3.5,,17,23.07,107.52,599,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1592,KSB1592,26.35,3.5,,21,26.35,124.55,699,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB023,KSB023,18.82,3.5,,19,18.82,93.36,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1608,KSB1608,20.37,3.5,,19,20.37,99.32,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1617,KSB1617,17.7,3.5,,17,17.7,86.85,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1583,KSB1583,18.51,3.5,,19,18.51,92.16,499,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1478,KSB1478,28.64,3.5,,19,28.64,131.16,699,,,,,,,,,
,福佑门四楼,银饰,足银999手镯,足银999,手镯,,KSB1582,KSB1582,30.63,3.5,,20,30.63,139.93,799,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB785,KSB785,29.18,3.5,,17,29.18,131.04,799,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB448,KSB448,25.27,3.5,,16,25.27,114.89,699,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1266,KSB1266,39.47,3.5,,19,39.47,172.86,999,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB765,KSB765,49.44,3.5,,23,49.44,215.64,1299,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1436,KSB1436,40.55,3.5,,19,40.55,177.02,1299,,,,,,,,,
,福佑门四楼,银饰,足银手镯,足银,手镯,,KSB1434,KSB1434,26.88,3.5,,17,26.88,122.19,699,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB1638,KSB1638,16.12,3.5,,17,16.12,80.76,399,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB1638,KSB1638,15.97,3.5,,17,15.97,80.18,399,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB962,KSB962,21.58,3.5,,27,21.58,112.78,599,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB1556,KSB1556,24.18,3.5,,19,24.18,113.99,599,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB1276,KSB1276,24.16,3.5,,25,24.16,120.52,599,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB1283,KSB1283,23.77,3.5,,21,23.77,114.61,599,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB735,KSB735,20.66,3.5,,25,20.66,107.04,499,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB735,KSB735,20.77,3.5,,25,20.77,107.46,499,,,,,,,,,
,福佑门四楼,银饰,足银合成立方氧化锆手镯,足银,手镯,,KSB735,KSB735,19.88,3.5,,25,19.88,104.04,499,,,,,,,,,
